ID,condition,group,variable,value
0,1,0,central_high_alpha,0.1680225586269417
1,1,0,central_high_alpha,0.1541612707529059
2,1,1,central_high_alpha,0.1646679773944691
4,1,0,central_high_alpha,0.1627797990063416
5,1,0,central_high_alpha,0.1584402834287339
6,1,1,central_high_alpha,0.1624167493279385
7,1,0,central_high_alpha,0.1735381175855455
8,1,0,central_high_alpha,0.1685511770304504
9,1,0,central_high_alpha,0.1747709126532539
10,1,1,central_high_alpha,0.144027696469695
11,1,1,central_high_alpha,0.1906689203880727
12,1,0,central_high_alpha,0.1573363523425973
13,1,0,central_high_alpha,0.139788620435158
14,1,0,central_high_alpha,0.1673629091106199
15,1,1,central_high_alpha,0.1518664219012276
16,1,1,central_high_alpha,0.1474989501232978
17,1,0,central_high_alpha,0.1455413602297521
20,1,1,central_high_alpha,0.1754602759376055
23,1,0,central_high_alpha,0.1466866802349767
24,1,0,central_high_alpha,0.1242473503610253
26,1,1,central_high_alpha,0.169645688889019
28,1,0,central_high_alpha,0.1672128318286301
31,1,0,central_high_alpha,0.1641005303277474
32,1,1,central_high_alpha,0.150561003092783
33,1,0,central_high_alpha,0.1407263058699258
34,1,1,central_high_alpha,0.1533051414706299
0,0,0,parietal_high_alpha,0.1947520136791134
1,0,0,parietal_high_alpha,0.1776494546654542
2,0,1,parietal_high_alpha,0.1764889437068331
4,0,0,parietal_high_alpha,0.164631394638046
5,0,0,parietal_high_alpha,0.1865304578154561
6,0,1,parietal_high_alpha,0.1854589425732029
7,0,0,parietal_high_alpha,0.1904517473338198
8,0,0,parietal_high_alpha,0.1894056477026788
9,0,0,parietal_high_alpha,0.1922135397876417
10,0,1,parietal_high_alpha,0.1687725659157962
11,0,1,parietal_high_alpha,0.1988053528903978
12,0,0,parietal_high_alpha,0.1804860586878872
13,0,0,parietal_high_alpha,0.173979244112851
14,0,0,parietal_high_alpha,0.1972758834179661
15,0,1,parietal_high_alpha,0.1695050968687185
16,0,1,parietal_high_alpha,0.1770274682314067
17,0,0,parietal_high_alpha,0.1696224529424883
20,0,1,parietal_high_alpha,0.1797743847193691
23,0,0,parietal_high_alpha,0.1794955618961144
24,0,0,parietal_high_alpha,0.1510270640539167
26,0,1,parietal_high_alpha,0.1887048441130141
28,0,0,parietal_high_alpha,0.1933981361934234
31,0,0,parietal_high_alpha,0.1902899127769786
32,0,1,parietal_high_alpha,0.1714908159628655
33,0,0,parietal_high_alpha,0.155728842502434
34,0,1,parietal_high_alpha,0.1785335094361915
0,1,0,parietal_high_alpha,0.1931451055664403
1,1,0,parietal_high_alpha,0.1760113884609306
2,1,1,parietal_high_alpha,0.1872038527660026
4,1,0,parietal_high_alpha,0.184224489281808
5,1,0,parietal_high_alpha,0.1710291131317495
6,1,1,parietal_high_alpha,0.1848628564647395
7,1,0,parietal_high_alpha,0.1919650634064198
8,1,0,parietal_high_alpha,0.1914869658999508
9,1,0,parietal_high_alpha,0.1892057321715263
10,1,1,parietal_high_alpha,0.1687636812932445
11,1,1,parietal_high_alpha,0.2014532322524203
12,1,0,parietal_high_alpha,0.1819152430833633
13,1,0,parietal_high_alpha,0.1708159235281615
14,1,0,parietal_high_alpha,0.1928331157856526
15,1,1,parietal_high_alpha,0.1679678786403581
16,1,1,parietal_high_alpha,0.1664902081278903
17,1,0,parietal_high_alpha,0.1660705492922185
20,1,1,parietal_high_alpha,0.1872609216162221
23,1,0,parietal_high_alpha,0.1684604322025214
24,1,0,parietal_high_alpha,0.1459128282121756
26,1,1,parietal_high_alpha,0.1837242497535974
28,1,0,parietal_high_alpha,0.1888537129613157
31,1,0,parietal_high_alpha,0.1858902743060858
32,1,1,parietal_high_alpha,0.1737330055648715
33,1,0,parietal_high_alpha,0.151470011591455
34,1,1,parietal_high_alpha,0.1768152769777186
0,0,0,occipital_high_alpha,0.2027337629221097
1,0,0,occipital_high_alpha,0.1812886631105914
2,0,1,occipital_high_alpha,0.1766613429170831
4,0,0,occipital_high_alpha,0.1705547609423
5,0,0,occipital_high_alpha,0.1925783454377523
6,0,1,occipital_high_alpha,0.1870246922584144
7,0,0,occipital_high_alpha,0.1922156466893784
8,0,0,occipital_high_alpha,0.1904537460240276
9,0,0,occipital_high_alpha,0.20228547724695
10,0,1,occipital_high_alpha,0.1699260186915148
11,0,1,occipital_high_alpha,0.2021212028961121
12,0,0,occipital_high_alpha,0.184258508304331
13,0,0,occipital_high_alpha,0.1856367234869471
14,0,0,occipital_high_alpha,0.1915785992361229
15,0,1,occipital_high_alpha,0.1726548049990033
16,0,1,occipital_high_alpha,0.175836555246368
17,0,0,occipital_high_alpha,0.1773877470505039
20,0,1,occipital_high_alpha,0.1763355160012643
23,0,0,occipital_high_alpha,0.1735721228877654
24,0,0,occipital_high_alpha,0.1595662322512021
26,0,1,occipital_high_alpha,0.1828475111810284
28,0,0,occipital_high_alpha,0.1917609290741339
31,0,0,occipital_high_alpha,0.1876323197298864
32,0,1,occipital_high_alpha,0.1807261013491485
33,0,0,occipital_high_alpha,0.1679658809383497
34,0,1,occipital_high_alpha,0.1766562474749876
0,1,0,occipital_high_alpha,0.201692179258309
1,1,0,occipital_high_alpha,0.1810100920735476
2,1,1,occipital_high_alpha,0.1812795105842568
4,1,0,occipital_high_alpha,0.1864468174668274
5,1,0,occipital_high_alpha,0.1753154671266346
6,1,1,occipital_high_alpha,0.1847640957269883
7,1,0,occipital_high_alpha,0.1911942867491047
8,1,0,occipital_high_alpha,0.1907472880030621
9,1,0,occipital_high_alpha,0.1985674781872099
10,1,1,occipital_high_alpha,0.1707164852061716
11,1,1,occipital_high_alpha,0.2003681619106187
12,1,0,occipital_high_alpha,0.1852430968392793
13,1,0,occipital_high_alpha,0.1824804222374691
14,1,0,occipital_high_alpha,0.188895088356514
15,1,1,occipital_high_alpha,0.1720462536594677
16,1,1,occipital_high_alpha,0.1683869599134086
17,1,0,occipital_high_alpha,0.1730518706453363
20,1,1,occipital_high_alpha,0.1821819925967942
23,1,0,occipital_high_alpha,0.1654121128987097
24,1,0,occipital_high_alpha,0.154942006834354
26,1,1,occipital_high_alpha,0.1774516200745832
28,1,0,occipital_high_alpha,0.1859095571408958
31,1,0,occipital_high_alpha,0.1863938631915931
32,1,1,occipital_high_alpha,0.1823523236944208
33,1,0,occipital_high_alpha,0.1613773515250664
34,1,1,occipital_high_alpha,0.175582393516689
0,0,0,midline_high_alpha,0.1849335373647459
1,0,0,midline_high_alpha,0.165410331371329
2,0,1,midline_high_alpha,0.1664257450565988
4,0,0,midline_high_alpha,0.1494283322417199
5,0,0,midline_high_alpha,0.171656418155999
6,0,1,midline_high_alpha,0.172309294425257
7,0,0,midline_high_alpha,0.1751286612864293
8,0,0,midline_high_alpha,0.1740214664157648
9,0,0,midline_high_alpha,0.1764532074624867
10,0,1,midline_high_alpha,0.1509112376326792
11,0,1,midline_high_alpha,0.1939057253106534
12,0,0,midline_high_alpha,0.1692398584952145
13,0,0,midline_high_alpha,0.1606088884505087
14,0,0,midline_high_alpha,0.1770589532252557
15,0,1,midline_high_alpha,0.1651682738802742
16,0,1,midline_high_alpha,0.1624746495799577
17,0,0,midline_high_alpha,0.1617718011319474
20,0,1,midline_high_alpha,0.1701411684747137
23,0,0,midline_high_alpha,0.1616412044010556
24,0,0,midline_high_alpha,0.1448225399501288
26,0,1,midline_high_alpha,0.172812789681891
28,0,0,midline_high_alpha,0.1816036876032234
31,0,0,midline_high_alpha,0.1731652376902831
32,0,1,midline_high_alpha,0.1632974788754735
33,0,0,midline_high_alpha,0.1517618379928403
34,0,1,midline_high_alpha,0.1610576380118579
0,1,0,midline_high_alpha,0.1890154312360067
1,1,0,midline_high_alpha,0.1645517089125356
2,1,1,midline_high_alpha,0.1719882452005166
4,1,0,midline_high_alpha,0.1651334759404317
5,1,0,midline_high_alpha,0.1596235067082361
6,1,1,midline_high_alpha,0.1719885689542323
7,1,0,midline_high_alpha,0.1773747972792785
8,1,0,midline_high_alpha,0.1741930356034972
9,1,0,midline_high_alpha,0.1762772937922588
10,1,1,midline_high_alpha,0.1508301564659223
11,1,1,midline_high_alpha,0.1948624902457825
12,1,0,midline_high_alpha,0.1691913204490236
13,1,0,midline_high_alpha,0.1562919767862648
14,1,0,midline_high_alpha,0.1738093956944109
15,1,1,midline_high_alpha,0.1660087456293256
16,1,1,midline_high_alpha,0.1586159180528708
17,1,0,midline_high_alpha,0.1597096264351633
20,1,1,midline_high_alpha,0.1770727095147957
23,1,0,midline_high_alpha,0.1506536034914755
24,1,0,midline_high_alpha,0.1466330564172121
26,1,1,midline_high_alpha,0.1687057169708746
28,1,0,midline_high_alpha,0.1768586249030229
31,1,0,midline_high_alpha,0.1720691634643559
32,1,1,midline_high_alpha,0.1624198611233715
33,1,0,midline_high_alpha,0.1504152732496972
34,1,1,midline_high_alpha,0.1615451829676701
