ID,condition,group,variable,value
28,0,0,central_high_alpha,0.1710734444018949
30,0,1,central_high_alpha,0.14081479668312488
31,0,0,central_high_alpha,0.17155519745699016
32,0,1,central_high_alpha,0.14862412842099768
33,0,0,central_high_alpha,0.14248916870558134
34,0,1,central_high_alpha,0.152252760261676
0,1,0,central_high_alpha,0.1680225586269417
1,1,0,central_high_alpha,0.15416127075290598
2,1,1,central_high_alpha,0.16466797739446917
4,1,0,central_high_alpha,0.16277979900634168
5,1,0,central_high_alpha,0.1584402834287339
6,1,1,central_high_alpha,0.16241674932793856
7,1,0,central_high_alpha,0.17353811758554555
8,1,0,central_high_alpha,0.16855117703045044
9,1,0,central_high_alpha,0.17477091265325395
10,1,1,central_high_alpha,0.14402769646969502
11,1,1,central_high_alpha,0.19066892038807273
12,1,0,central_high_alpha,0.15733635234259732
13,1,0,central_high_alpha,0.13978862043515805
14,1,0,central_high_alpha,0.1673629091106199
15,1,1,central_high_alpha,0.15186642190122762
16,1,1,central_high_alpha,0.14749895012329783
17,1,0,central_high_alpha,0.14554136022975214
20,1,1,central_high_alpha,0.1754602759376055
23,1,0,central_high_alpha,0.14668668023497675
24,1,0,central_high_alpha,0.12424735036102533
26,1,1,central_high_alpha,0.16964568888901907
28,1,0,central_high_alpha,0.16721283182863012
30,1,1,central_high_alpha,-0.017863295361483497
31,1,0,central_high_alpha,0.16410053032774746
32,1,1,central_high_alpha,0.15056100309278306
33,1,0,central_high_alpha,0.14072630586992582
34,1,1,central_high_alpha,0.1533051414706299
0,0,0,parietal_high_alpha,0.1947520136791134
1,0,0,parietal_high_alpha,0.1776494546654542
2,0,1,parietal_high_alpha,0.17648894370683316
4,0,0,parietal_high_alpha,0.16463139463804607
5,0,0,parietal_high_alpha,0.1865304578154561
6,0,1,parietal_high_alpha,0.18545894257320292
7,0,0,parietal_high_alpha,0.19045174733381984
8,0,0,parietal_high_alpha,0.18940564770267887
9,0,0,parietal_high_alpha,0.19221353978764177
10,0,1,parietal_high_alpha,0.16877256591579626
11,0,1,parietal_high_alpha,0.1988053528903978
12,0,0,parietal_high_alpha,0.18048605868788725
13,0,0,parietal_high_alpha,0.17397924411285107
14,0,0,parietal_high_alpha,0.19727588341796612
15,0,1,parietal_high_alpha,0.16950509686871856
16,0,1,parietal_high_alpha,0.17702746823140678
17,0,0,parietal_high_alpha,0.1696224529424883
20,0,1,parietal_high_alpha,0.17977438471936918
23,0,0,parietal_high_alpha,0.17949556189611446
24,0,0,parietal_high_alpha,0.1510270640539167
26,0,1,parietal_high_alpha,0.1887048441130141
28,0,0,parietal_high_alpha,0.19339813619342347
30,0,1,parietal_high_alpha,0.17706358688059906
31,0,0,parietal_high_alpha,0.19028991277697863
32,0,1,parietal_high_alpha,0.17149081596286556
33,0,0,parietal_high_alpha,0.15572884250243402
34,0,1,parietal_high_alpha,0.1785335094361915
0,1,0,parietal_high_alpha,0.19314510556644038
1,1,0,parietal_high_alpha,0.17601138846093067
2,1,1,parietal_high_alpha,0.18720385276600265
4,1,0,parietal_high_alpha,0.18422448928180807
5,1,0,parietal_high_alpha,0.1710291131317495
6,1,1,parietal_high_alpha,0.18486285646473954
7,1,0,parietal_high_alpha,0.19196506340641983
8,1,0,parietal_high_alpha,0.19148696589995087
9,1,0,parietal_high_alpha,0.18920573217152636
10,1,1,parietal_high_alpha,0.16876368129324457
11,1,1,parietal_high_alpha,0.2014532322524203
12,1,0,parietal_high_alpha,0.18191524308336332
13,1,0,parietal_high_alpha,0.17081592352816158
14,1,0,parietal_high_alpha,0.1928331157856526
15,1,1,parietal_high_alpha,0.16796787864035811
16,1,1,parietal_high_alpha,0.1664902081278903
17,1,0,parietal_high_alpha,0.16607054929221854
20,1,1,parietal_high_alpha,0.18726092161622215
23,1,0,parietal_high_alpha,0.16846043220252144
24,1,0,parietal_high_alpha,0.1459128282121756
26,1,1,parietal_high_alpha,0.1837242497535974
28,1,0,parietal_high_alpha,0.18885371296131578
30,1,1,parietal_high_alpha,0.1701577850581976
31,1,0,parietal_high_alpha,0.18589027430608582
32,1,1,parietal_high_alpha,0.17373300556487156
33,1,0,parietal_high_alpha,0.151470011591455
34,1,1,parietal_high_alpha,0.17681527697771862
0,0,0,occipital_high_alpha,0.20273376292210976
1,0,0,occipital_high_alpha,0.18128866311059147
2,0,1,occipital_high_alpha,0.17666134291708313
4,0,0,occipital_high_alpha,0.17055476094230002
5,0,0,occipital_high_alpha,0.19257834543775232
6,0,1,occipital_high_alpha,0.1870246922584144
7,0,0,occipital_high_alpha,0.19221564668937843
8,0,0,occipital_high_alpha,0.19045374602402768
9,0,0,occipital_high_alpha,0.20228547724695006
10,0,1,occipital_high_alpha,0.16992601869151489
11,0,1,occipital_high_alpha,0.2021212028961121
12,0,0,occipital_high_alpha,0.184258508304331
13,0,0,occipital_high_alpha,0.18563672348694718
14,0,0,occipital_high_alpha,0.19157859923612297
15,0,1,occipital_high_alpha,0.17265480499900338
16,0,1,occipital_high_alpha,0.17583655524636807
17,0,0,occipital_high_alpha,0.1773877470505039
20,0,1,occipital_high_alpha,0.17633551600126438
23,0,0,occipital_high_alpha,0.17357212288776547
24,0,0,occipital_high_alpha,0.15956623225120217
26,0,1,occipital_high_alpha,0.18284751118102843
28,0,0,occipital_high_alpha,0.19176092907413392
30,0,1,occipital_high_alpha,0.18364062499760164
31,0,0,occipital_high_alpha,0.18763231972988645
32,0,1,occipital_high_alpha,0.1807261013491485
33,0,0,occipital_high_alpha,0.16796588093834977
34,0,1,occipital_high_alpha,0.17665624747498768
0,1,0,occipital_high_alpha,0.201692179258309
1,1,0,occipital_high_alpha,0.1810100920735476
2,1,1,occipital_high_alpha,0.18127951058425684
4,1,0,occipital_high_alpha,0.18644681746682742
5,1,0,occipital_high_alpha,0.1753154671266346
6,1,1,occipital_high_alpha,0.1847640957269883
7,1,0,occipital_high_alpha,0.1911942867491047
8,1,0,occipital_high_alpha,0.19074728800306215
9,1,0,occipital_high_alpha,0.19856747818720993
10,1,1,occipital_high_alpha,0.17071648520617166
11,1,1,occipital_high_alpha,0.20036816191061874
12,1,0,occipital_high_alpha,0.18524309683927934
13,1,0,occipital_high_alpha,0.18248042223746916
14,1,0,occipital_high_alpha,0.18889508835651406
15,1,1,occipital_high_alpha,0.1720462536594677
16,1,1,occipital_high_alpha,0.16838695991340868
17,1,0,occipital_high_alpha,0.17305187064533636
20,1,1,occipital_high_alpha,0.1821819925967942
23,1,0,occipital_high_alpha,0.16541211289870975
24,1,0,occipital_high_alpha,0.15494200683435402
26,1,1,occipital_high_alpha,0.17745162007458326
28,1,0,occipital_high_alpha,0.18590955714089583
30,1,1,occipital_high_alpha,0.17525427760800916
31,1,0,occipital_high_alpha,0.18639386319159312
32,1,1,occipital_high_alpha,0.18235232369442084
33,1,0,occipital_high_alpha,0.1613773515250664
34,1,1,occipital_high_alpha,0.17558239351668906
0,0,0,midline_high_alpha,0.1849335373647459
1,0,0,midline_high_alpha,0.16541033137132902
2,0,1,midline_high_alpha,0.1664257450565988
4,0,0,midline_high_alpha,0.14942833224171992
5,0,0,midline_high_alpha,0.17165641815599908
6,0,1,midline_high_alpha,0.17230929442525708
7,0,0,midline_high_alpha,0.17512866128642934
8,0,0,midline_high_alpha,0.17402146641576482
9,0,0,midline_high_alpha,0.1764532074624867
10,0,1,midline_high_alpha,0.15091123763267925
11,0,1,midline_high_alpha,0.1939057253106534
12,0,0,midline_high_alpha,0.16923985849521453
13,0,0,midline_high_alpha,0.16060888845050872
14,0,0,midline_high_alpha,0.17705895322525575
15,0,1,midline_high_alpha,0.16516827388027422
16,0,1,midline_high_alpha,0.1624746495799577
17,0,0,midline_high_alpha,0.16177180113194742
20,0,1,midline_high_alpha,0.1701411684747137
23,0,0,midline_high_alpha,0.1616412044010556
24,0,0,midline_high_alpha,0.14482253995012886
26,0,1,midline_high_alpha,0.17281278968189107
28,0,0,midline_high_alpha,0.1816036876032234
30,0,1,midline_high_alpha,0.16349900725689875
31,0,0,midline_high_alpha,0.17316523769028316
32,0,1,midline_high_alpha,0.16329747887547358
33,0,0,midline_high_alpha,0.15176183799284035
34,0,1,midline_high_alpha,0.16105763801185796
0,1,0,midline_high_alpha,0.18901543123600678
1,1,0,midline_high_alpha,0.1645517089125356
2,1,1,midline_high_alpha,0.17198824520051664
4,1,0,midline_high_alpha,0.16513347594043176
5,1,0,midline_high_alpha,0.15962350670823616
6,1,1,midline_high_alpha,0.1719885689542323
7,1,0,midline_high_alpha,0.17737479727927855
8,1,0,midline_high_alpha,0.17419303560349725
9,1,0,midline_high_alpha,0.17627729379225887
10,1,1,midline_high_alpha,0.15083015646592238
11,1,1,midline_high_alpha,0.1948624902457825
12,1,0,midline_high_alpha,0.16919132044902363
13,1,0,midline_high_alpha,0.15629197678626483
14,1,0,midline_high_alpha,0.17380939569441095
15,1,1,midline_high_alpha,0.1660087456293256
16,1,1,midline_high_alpha,0.15861591805287087
17,1,0,midline_high_alpha,0.15970962643516332
20,1,1,midline_high_alpha,0.17707270951479578
23,1,0,midline_high_alpha,0.15065360349147555
24,1,0,midline_high_alpha,0.1466330564172121
26,1,1,midline_high_alpha,0.16870571697087466
28,1,0,midline_high_alpha,0.17685862490302293
30,1,1,midline_high_alpha,0.15699506991792359
31,1,0,midline_high_alpha,0.17206916346435597
32,1,1,midline_high_alpha,0.16241986112337156
33,1,0,midline_high_alpha,0.15041527324969722
34,1,1,midline_high_alpha,0.16154518296767018
